Source (A),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
Dough is a flour mixture stiff enough to knead or roll.,11,92.84,18.16,31.94,25.77,11.00,9.09,54.55,36.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,9.09,9.09,0.00,9.09,0.00,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,9.09,0.00,9.09,0.00,0.00,0.00,0.00,9.09,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
I can tell that it is the box.,8,1.80,50.00,7.84,25.77,8.00,0.00,87.50,75.00,37.50,12.50,12.50,0.00,0.00,0.00,0.00,25.00,12.50,0.00,25.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Well at least they tried their best.    Large, above average in size or number or quantity or magnitude or extent.",20,51.43,15.86,99.00,99.00,10.00,15.00,75.00,50.00,10.00,10.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,15.00,0.00,5.00,20.00,0.00,5.00,20.00,10.00,0.00,0.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,10.00,15.00,5.00,0.00,5.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,5.00,0.00,15.00,10.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
I am a man.,4,37.39,50.00,74.76,25.77,4.00,0.00,100.00,75.00,25.00,25.00,25.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,25.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
I donÕt know.,3,17.96,1.00,99.00,25.77,3.00,0.00,66.67,33.33,33.33,33.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"I sometimes really can seriously bored . And you could not get it out, ye. What would... Boring things, nothing interesting, so try to be creative, Andrew . Andrew, and you could not get it out.",34,1.00,38.42,6.20,1.76,6.80,14.71,94.12,70.59,23.53,11.76,2.94,0.00,8.82,0.00,0.00,11.76,0.00,8.82,14.71,8.82,8.82,8.82,20.59,5.88,0.00,2.94,0.00,0.00,14.71,5.88,8.82,0.00,0.00,0.00,8.82,0.00,0.00,0.00,0.00,29.41,0.00,2.94,8.82,5.88,2.94,8.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.76,0.00,5.88,0.00,5.88,0.00,0.00,14.71,0.00,8.82,0.00,5.88,2.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.29,20.59,14.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"If the brown suitcase is small, the trophy could not fit in it. So I think that the brown suitcase is too small. Would you like to know more?",29,30.64,24.51,47.93,85.87,9.67,10.34,89.66,58.62,13.79,6.90,3.45,0.00,3.45,0.00,0.00,6.90,10.34,6.90,13.79,6.90,6.90,3.45,24.14,17.24,3.45,0.00,0.00,3.45,3.45,3.45,0.00,0.00,0.00,0.00,3.45,0.00,0.00,0.00,0.00,20.69,6.90,0.00,10.34,3.45,0.00,6.90,6.90,6.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.90,0.00,0.00,6.90,0.00,0.00,0.00,13.79,0.00,13.79,0.00,13.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.79,6.90,3.45,0.00,0.00,3.45,0.00,0.00,0.00,0.00,0.00,0.00
"No, my nightmares usually involve me falling from a great height, of been murdered, nice",15,69.57,9.13,98.01,25.77,15.00,33.33,100.00,53.33,13.33,13.33,13.33,0.00,0.00,0.00,0.00,0.00,6.67,13.33,6.67,6.67,0.00,6.67,6.67,13.33,0.00,0.00,0.00,0.00,26.67,13.33,13.33,0.00,6.67,0.00,6.67,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,6.67,0.00,6.67,0.00,0.00,20.00,6.67,6.67,6.67,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sorry I canÕt see anything right now. My eye is off.,11,12.85,3.48,99.00,1.00,5.50,9.09,90.91,54.55,27.27,18.18,18.18,0.00,0.00,0.00,0.00,9.09,0.00,9.09,9.09,9.09,0.00,0.00,27.27,9.09,0.00,0.00,0.00,0.00,9.09,0.00,9.09,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,9.09,0.00,0.00,18.18,18.18,0.00,0.00,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.27,0.00,27.27,0.00,18.18,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Hmm. Your name is Andrew. Is it not?,8,1.00,89.42,7.84,25.77,2.67,0.00,87.50,62.50,25.00,12.50,0.00,0.00,12.50,0.00,0.00,12.50,0.00,0.00,25.00,0.00,0.00,12.50,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,12.50,0.00,12.50,0.00,37.50,25.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00
I donÕt make toast.,4,37.39,1.00,74.76,25.77,4.00,0.00,50.00,25.00,25.00,25.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
I donÕt know where a look would must.,8,11.24,10.58,7.84,25.77,8.00,0.00,87.50,62.50,12.50,12.50,12.50,0.00,0.00,0.00,0.00,0.00,12.50,0.00,25.00,12.50,0.00,0.00,50.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.50,12.50,0.00,25.00,0.00,12.50,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Sorry, I am just trying to get to know you better.",11,56.58,81.84,31.94,25.77,11.00,0.00,100.00,54.55,18.18,18.18,9.09,0.00,9.09,0.00,0.00,0.00,0.00,18.18,9.09,9.09,0.00,0.00,36.36,18.18,9.09,0.00,0.00,0.00,18.18,9.09,9.09,0.00,0.00,9.09,9.09,0.00,0.00,0.00,0.00,18.18,9.09,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.27,0.00,18.18,0.00,18.18,0.00,0.00,27.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Sorry, I have forgotten. Do you like vegetables?",8,1.80,89.42,7.84,25.77,4.00,37.50,100.00,50.00,25.00,25.00,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,50.00,12.50,0.00,0.00,0.00,0.00,25.00,12.50,12.50,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,12.50,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.50,12.50,12.50,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00
Maybe it has no letters.,5,1.00,2.31,1.00,25.77,5.00,20.00,80.00,80.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,20.00,20.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
He that can have patience can have what he will.,10,1.00,97.69,1.00,25.77,10.00,10.00,90.00,90.00,40.00,20.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,50.00,0.00,0.00,0.00,30.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"If I have to choose, I pick a woman.",9,45.11,1.38,98.01,25.77,9.00,0.00,100.00,66.67,22.22,22.22,22.22,0.00,0.00,0.00,0.00,0.00,11.11,11.11,11.11,0.00,11.11,0.00,22.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,11.11,0.00,33.33,11.11,11.11,11.11,11.11,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
You are welcome. Yes.,4,1.80,99.00,1.00,99.00,2.00,25.00,100.00,50.00,25.00,25.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,25.00,25.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,25.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,25.00,0.00,0.00,50.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Yes, all my legs are back in Boston.",8,37.39,10.58,99.00,25.77,8.00,0.00,87.50,50.00,12.50,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,12.50,12.50,12.50,0.00,0.00,12.50,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,25.00,0.00,25.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,12.50,0.00,0.00,25.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
At time t.,3,99.00,50.00,99.00,25.77,3.00,0.00,66.67,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.67,0.00,33.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
I don't know.,3,1.00,1.00,99.00,25.77,3.00,0.00,100.00,66.67,33.33,33.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,33.33,66.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.67,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00
"Have you tried looking in the Open Directory? I will try to find out. Sorry, I donÕt have any internet access here.",22,68.79,50.00,85.21,1.00,7.33,13.64,90.91,50.00,13.64,13.64,9.09,0.00,4.55,0.00,0.00,0.00,4.55,13.64,13.64,4.55,0.00,0.00,36.36,4.55,0.00,0.00,0.00,4.55,4.55,0.00,4.55,0.00,0.00,4.55,4.55,0.00,0.00,0.00,0.00,13.64,4.55,0.00,0.00,9.09,0.00,0.00,4.55,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,0.00,9.09,4.55,4.55,0.00,4.55,22.73,4.55,13.64,0.00,13.64,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,9.09,4.55,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00
"IÕm doing everything with enthusiasm ^-^ I like the toast of white bread. It is desirable, with a hot broth. With toasts I normally eat jam:)",26,92.84,35.01,1.00,99.00,8.67,15.38,80.77,46.15,15.38,7.69,7.69,0.00,0.00,0.00,0.00,7.69,7.69,15.38,7.69,0.00,0.00,0.00,15.38,7.69,0.00,0.00,0.00,0.00,15.38,15.38,0.00,0.00,0.00,0.00,3.85,0.00,0.00,0.00,0.00,11.54,0.00,0.00,7.69,0.00,3.85,0.00,7.69,3.85,0.00,3.85,7.69,0.00,0.00,0.00,7.69,7.69,0.00,0.00,0.00,7.69,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,0.00,3.85,0.00,0.00,0.00,23.08,7.69,3.85,0.00,0.00,0.00,0.00,3.85,0.00,0.00,0.00,7.69
I donÕt know,3,17.96,1.00,99.00,25.77,3.00,0.00,66.67,33.33,33.33,33.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
