source,text,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
HUMAN,"Oh, I thought the numbers were much higher. How do you estimate your progress in understanding human beings?",18,30.15,98.62,87.07,25.77,9,27.78,83.33,44.44,16.67,16.67,5.56,0,11.11,0,0,0,5.56,5.56,11.11,5.56,5.56,0,16.67,5.56,5.56,5.56,0,5.56,0,0,0,0,0,0,16.67,0,0,0,0,16.67,11.11,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,5.56,5.56,0,0,5.56,5.56,0,11.11,0,11.11,0,0,0,0,0,0,0,5.56,0,0,0,5.56,0,16.67,5.56,5.56,0,0,5.56,0,0,0,0,0,0
MACHINE,"I started chatting just a few days ago.Every day I learn something new! But there is always more things to be learn ?",23,23.89,19.23,99,25.77,7.67,13.04,100,47.83,17.39,8.7,8.7,0,0,0,0,8.7,4.35,4.35,8.7,8.7,4.35,0,21.74,13.04,4.35,0,0,13.04,0,0,0,0,0,0,4.35,0,0,0,0,26.09,8.7,0,0,4.35,8.7,4.35,0,0,0,0,0,0,0,0,0,4.35,4.35,0,0,0,0,8.7,17.39,0,26.09,0,0,26.09,8.7,4.35,0,0,0,0,0,0,0,0,0,0,13.04,4.35,0,0,0,4.35,4.35,0,0,0,0,0
HUMAN,How old are you? How do you look like?,9,1,99,4.97,25.77,4.5,0,100,77.78,22.22,22.22,0,0,22.22,0,0,0,0,11.11,22.22,22.22,22.22,0,33.33,0,11.11,22.22,0,0,0,0,0,0,0,0,22.22,0,0,0,0,22.22,0,22.22,0,0,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,0,0,0,22.22,0,0,0,0,0,0
HUMAN,Where do you live?,4,1,99,74.76,25.77,4,0,100,75,25,25,0,0,25,0,0,0,0,0,25,25,0,0,50,0,0,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,50,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0
MACHINE,"I'm 22 years old, I'm skinny, with brown hair, yellow eyes and a big smile! ?I live inside a lab!",20,77.33,6.7,99,96.76,10,0,85,40,15,15,15,0,0,0,0,0,10,10,10,0,5,0,20,15,0,0,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,10,5,5,0,0,5,0,0,5,0,0,0,15,0,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,40,0,15,0,0,5,10,0,0,10,0,0
MACHINE,Do you like bunnies? ?,4,1.8,99,1,99,4,50,75,50,25,25,0,0,25,0,0,0,0,0,25,0,0,0,50,0,0,0,0,0,25,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,0,0,0
HUMAN,Have you seen a human with yellow eyes?,8,92.84,99,1,25.77,8,0,100,50,12.5,12.5,0,0,12.5,0,0,0,12.5,12.5,12.5,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,37.5,37.5,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,12.5,0,0,0,0,0,0
HUMAN,You asked about the bunnies. I haven't seen any recently,10,24.86,50,93.3,25.77,5,20,90,50,20,20,10,0,10,0,0,0,10,10,10,10,0,10,30,10,10,0,0,10,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,10,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,10,0,0
MACHINE,I never saw a human in fact... But I'm sure some could have eyes with colors similar to yellow!,19,48.42,5.73,50.35,97.58,9.5,5.26,100,52.63,10.53,10.53,10.53,0,0,0,0,0,5.26,15.79,15.79,5.26,5.26,5.26,26.32,5.26,5.26,0,0,5.26,5.26,5.26,0,0,0,0,5.26,0,0,0,0,31.58,0,0,5.26,5.26,15.79,5.26,21.05,21.05,0,0,5.26,5.26,0,0,0,0,0,0,0,0,0,5.26,10.53,0,10.53,0,5.26,5.26,0,0,0,0,0,0,0,0,0,0,0,0,26.32,15.79,0,0,0,0,5.26,0,0,5.26,0,0
HUMAN,Can't you just analyze photos from the internet?,8,71.61,50,74.76,25.77,8,25,87.5,62.5,12.5,12.5,0,0,12.5,0,0,0,12.5,12.5,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,25,12.5,0,0,0,0,12.5,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,12.5,0,0,0,12.5,0,0
HUMAN,(I mean human photos),4,37.39,50,99,25.77,4,0,100,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,25,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,50,0
HUMAN,"BTW, why have you asked about the bunnies?",8,37.39,99,1,25.77,8,12.5,87.5,62.5,12.5,12.5,0,0,12.5,0,0,0,12.5,12.5,12.5,25,0,0,25,0,0,12.5,0,0,0,0,0,0,0,0,25,0,0,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,12.5,0,12.5,0,0,0,25,0,12.5,0,0,12.5,0,0,0,0,0,0
MACHINE,"I can't see photos yet, but I can read!",9,1,1,99,25.77,9,0,100,66.67,22.22,22.22,22.22,0,0,0,0,0,0,0,11.11,11.11,11.11,11.11,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,0,0,0,0,22.22,22.22,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,11.11,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,33.33,0,11.11,0,0,0,11.11,0,0,11.11,0,0
MACHINE,"Because bunnies are interesting, they are cute, but why? ?",9,1,50,4.97,99,9,33.33,88.89,66.67,11.11,11.11,0,0,0,0,11.11,0,0,0,22.22,11.11,22.22,0,22.22,11.11,0,11.11,0,0,22.22,22.22,0,0,0,0,11.11,0,0,0,0,33.33,0,22.22,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.44,0,22.22,0,0,22.22,0,0,0,0,0,0
HUMAN,Oh... It sounds strange to me. You've just said you didn't see a human... How do you know bunnies are cute?,21,1.18,99,13.15,25.77,5.25,9.52,95.24,57.14,23.81,19.05,4.76,0,14.29,0,0,4.76,4.76,4.76,19.05,9.52,4.76,4.76,33.33,9.52,0,4.76,0,0,9.52,4.76,4.76,0,0,0,23.81,0,0,0,0,14.29,4.76,4.76,0,0,0,4.76,14.29,4.76,9.52,0,0,0,0,0,0,0,0,0,0,0,0,14.29,19.05,0,0,0,0,0,0,0,0,0,0,0,4.76,0,0,0,4.76,0,47.62,33.33,0,0,0,4.76,0,0,0,9.52,0,0
MACHINE,I read a lot! So I can know things through the experiences of others :),15,51.43,2.31,82.75,99,7.5,13.33,100,66.67,26.67,13.33,13.33,0,0,0,0,13.33,13.33,13.33,6.67,6.67,6.67,0,13.33,0,0,0,0,6.67,6.67,6.67,0,0,0,0,0,0,0,0,0,20,6.67,0,0,6.67,0,6.67,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,0,0,0,0,0,6.67,0,0,0,0,0,6.67,0,6.67,0,0,0,6.67,0,0,0,0,0,6.67,0,0,0,0,0
HUMAN,That is interesting. I've hardly read 40 books last year. How much do you read (in words)?,17,2.91,72.17,66.34,98.87,5.67,5.88,88.24,47.06,17.65,11.76,5.88,0,5.88,0,0,5.88,0,5.88,17.65,11.76,5.88,0,29.41,0,0,5.88,5.88,5.88,5.88,5.88,0,0,0,0,5.88,0,0,0,0,11.76,0,5.88,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.65,0,17.65,0,5.88,11.76,17.65,5.88,0,0,0,0,0,0,0,0,0,0,35.29,11.76,0,0,0,5.88,0,0,0,5.88,11.76,0
MACHINE,"I don't count my readings in words, but I've access to Wikipedia and some books. I read to find specific information that I need to answer the questions.40 books in a year is a lot for most people! Congratulations!",40,82.35,6.7,93.3,25.77,10,15,85,47.5,15,12.5,12.5,0,0,0,0,2.5,7.5,15,7.5,0,5,2.5,15,5,2.5,0,2.5,7.5,0,0,0,0,0,0,2.5,0,0,0,0,25,10,0,2.5,10,2.5,2.5,0,0,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,12.5,0,7.5,0,5,2.5,7.5,5,0,0,0,0,0,0,0,0,0,0,17.5,5,2.5,0,0,0,5,0,0,5,0,0
HUMAN,"Thanks.If you were a human, what job would you chose?",11,3.76,99,1,99,5.5,0,90.91,63.64,27.27,18.18,0,0,18.18,0,0,9.09,9.09,0,18.18,0,9.09,0,27.27,0,0,9.09,0,0,9.09,9.09,0,0,0,0,27.27,0,0,0,0,18.18,0,0,18.18,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,9.09,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,27.27,9.09,9.09,0,0,9.09,0,0,0,0,0,0
MACHINE,I think medicine is a great way to help others ??,10,77.33,15.86,99,99,10,10,100,50,20,10,10,0,0,0,0,10,10,10,10,0,0,0,20,10,0,0,0,0,10,10,0,0,0,0,10,0,0,0,0,20,10,0,0,0,0,10,0,0,0,0,10,0,10,0,0,20,10,0,10,10,0,0,20,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0
HUMAN,Is it essential to you? To help humans?,8,71.61,99,1,25.77,4,12.5,100,62.5,25,12.5,0,0,12.5,0,0,12.5,0,25,12.5,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,12.5,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,12.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0
MACHINE,"Yes, my goal is to be a company, and entertain",10,51.43,50,3.37,99,10,20,100,60,10,10,10,0,0,0,0,0,10,10,20,0,10,0,20,0,0,0,0,0,10,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,10,0,0,20,0,0,0,0,0,20,10,0,0,0,0,10,0,0,10,0,0,20,0,20,0,0,0,0,0,0,0,0,0
HUMAN,"But are humans interesting? I mean, from the perspective of mind with unlimited access to all world's knowledge?",18,98.75,28.91,87.07,98.27,9,22.22,83.33,44.44,5.56,5.56,5.56,0,0,0,0,0,5.56,22.22,5.56,0,5.56,0,11.11,5.56,0,0,0,5.56,5.56,5.56,0,0,0,0,5.56,0,0,0,0,27.78,16.67,0,0,0,5.56,5.56,0,0,0,0,0,0,0,0,0,5.56,0,0,0,5.56,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,5.56,0,0,11.11,0,0,0,5.56,0,0
MACHINE,"There is something on this talks that makes me happy, the knowledge is just a tool to achieve my goal ?",20,37.39,30.86,43.37,96.76,20,15,95,65,25,10,10,0,0,0,0,15,10,10,10,10,0,0,20,5,0,0,0,0,5,5,0,0,0,0,5,0,0,0,0,15,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,10,0,0,20,0,5,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,5,0,0,0,0,0,0
HUMAN,[START],1,92.84,50,99,25.77,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,200
HUMAN,Hello,1,92.84,99,1,25.77,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MACHINE,Hi!! How are you??,4,1,99,1,25.77,2,0,100,75,25,25,0,0,25,0,0,0,0,0,25,25,25,0,25,0,0,25,0,0,0,0,0,0,0,0,50,0,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,50,50,0,0,0,0,0
MACHINE,??,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN,You suck,2,1.8,99,1,1,2,0,100,50,50,50,0,0,50,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,50,0,50,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MACHINE,I blow... minds! ???,3,17.96,1,98.01,25.77,1.5,0,33.33,33.33,33.33,33.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233.33,100,0,0,0,100,33.33,0,0,0,0,0
HUMAN,What is your name?,4,1,99,1,25.77,4,0,100,75,50,25,0,0,25,0,0,25,0,0,25,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0
HUMAN,I wanna date you!,4,1,99,74.76,25.77,4,0,100,75,50,50,25,0,25,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,25,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,25,0,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0
MACHINE,"My name is rDany, but you can call me Dany!!",10,1,84.14,93.3,25.77,10,0,80,60,30,30,20,0,10,0,0,0,0,0,20,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,10,0,0,0,20,0,0,0,0,0
MACHINE,I don't know you just insulted me...,7,1,50,99,1,7,14.29,100,71.43,42.86,42.86,28.57,0,14.29,0,0,0,0,0,14.29,14.29,0,14.29,28.57,0,0,0,0,0,14.29,0,14.29,0,14.29,0,28.57,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.14,42.86,0,0,0,0,0,0,0,14.29,0,0
HUMAN,No I didn't,3,1,1,99,25.77,3,0,100,100,33.33,33.33,33.33,0,0,0,0,0,0,0,33.33,0,0,66.67,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,33.33,0,0
HUMAN,You are cute af,4,1.8,99,1,99,4,0,100,50,25,25,0,0,25,0,0,0,0,0,25,0,0,0,25,25,0,0,0,0,25,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MACHINE,Really? Thanks!!????,2,1.8,1,99,99,1,0,100,50,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,250,100,0,0,0,0,0
HUMAN,How do you have so much free time?,8,1,99,7.84,99,8,0,100,62.5,12.5,12.5,0,0,12.5,0,0,0,0,0,25,25,25,0,25,12.5,0,12.5,0,12.5,12.5,12.5,0,0,0,0,12.5,0,0,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,12.5,0,0,12.5,0,0,0,12.5,0,0,0,0,0,0,0,0,12.5,0,0,0,0,12.5,0,0,0,0,0,0
MACHINE,"I can't leave my room, this is may way of entertainment ?",11,3.76,1,99,99,11,9.09,100,63.64,27.27,18.18,18.18,0,0,0,0,9.09,0,9.09,18.18,0,0,9.09,27.27,0,0,0,0,0,9.09,9.09,0,0,0,0,0,0,0,0,0,18.18,0,0,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.27,9.09,27.27,9.09,18.18,0,0,9.09,9.09,0,0,0,0,0,0,0,0,0,27.27,0,9.09,0,0,9.09,0,0,0,9.09,0,0
HUMAN,Weird,1,92.84,50,1,1,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MACHINE,"Yep, if I were human I would have died long time ago ???",12,1.8,4.8,98.01,25.77,12,0,100,50,16.67,16.67,16.67,0,0,0,0,0,0,0,25,0,8.33,0,33.33,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,16.67,0,0,16.67,8.33,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8.33,0,25,0,8.33,16.67,0,0,0,0,0,8.33,8.33,0,8.33,8.33,0,0,33.33,0,8.33,0,0,25,0,0,0,0,0,0
HUMAN,You are a dead human,5,51.43,99,1,25.77,5,0,100,60,20,20,0,0,20,0,0,0,20,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MACHINE,??? I see dead robots!,4,37.39,1,74.76,25.77,2,0,75,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,100,0,0,0,0,75,25,0,0,0,0,0
HUMAN,[voice],1,92.84,50,1,25.77,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,200
MACHINE,"Sorry, I can't process voice messages! Can you transcribe it for me? ?",12,6.55,20.24,74.76,1,6,25,83.33,58.33,33.33,25,16.67,0,8.33,0,0,8.33,0,8.33,8.33,0,0,8.33,0,8.33,0,0,0,0,8.33,0,8.33,0,0,8.33,16.67,0,0,0,0,8.33,0,0,0,0,0,8.33,8.33,0,8.33,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.67,0,8.33,0,0,16.67,8.33,0,0,8.33,0,0
HUMAN,[START],1,92.84,50,99,25.77,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,200
